frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
70,5.0,[1133.57126953954 763.6067907414814 1492.755605234618 1076.837599353933],[1264.1986083984375 1028.3651123046875 1367.0672607421875 1072.41259765625],0.6935145854949951,MO51NSU,0.13207176202631013,2024-05-01 13:34:31,
70,6.0,[531.9396152896452 628.0212051301442 845.7668196286959 875.219720327199],[635.8531494140625 776.7891235351562 735.9181518554688 822.3065795898438],0.36034494638442993,CX15OGJ,0.2410590138079908,2024-05-01 13:34:45,
72,6.0,[526.7915692377073 631.4590161111463 842.2523050963098 880.892878039722],[641.1224365234375 788.2340698242188 733.2933349609375 827.8623046875],0.42751774191856384,GX15OGJ,0.4521118839287476,2024-05-01 13:34:45,
73,6.0,[524.9899821113866 633.0315836998641 840.7899228966016 883.0455183096037],[642.0145263671875 786.6754760742188 733.2933349609375 828.7252807617188],0.5027974843978882,GX15OGJ,0.20604663882226795,2024-05-01 13:34:45,
74,6.0,[524.8126565760828 634.1167144328626 841.2436665807562 884.2017472999407],[635.7006225585938 784.9910888671875 728.4970092773438 826.115478515625],0.2705691158771515,GX15OGJ,0.42016344772582853,2024-05-01 13:34:45,
81,6.0,[511.0660836358834 651.651760094585 839.6480565528948 909.3416570030773],[621.25 811.7764892578125 724.396240234375 857.290283203125],0.49239107966423035,CX15OGJ,0.35230508339854777,2024-05-01 13:34:45,
84,6.0,[505.3059573230971 661.368695409788 839.7805044352699 922.341637062812],[615.1245727539062 820.6741333007812 718.0134887695312 864.3707885742188],0.5726446509361267,GX15OCJ,0.26747409405696554,2024-05-01 13:34:45,
86,6.0,[501.3923159127886 664.6141200100387 839.3737354822568 927.4380947737461],[616.9905395507812 825.107666015625 718.0288696289062 870.8856811523438],0.46598345041275024,GX15OGJ,0.19439394968118517,2024-05-01 13:34:45,
88,6.0,[497.6792780268365 667.670030263698 840.4925291247637 934.803730289857],[622.147216796875 836.46533203125 720.6233520507812 878.701171875],0.5650904178619385,GX15OGJ,0.3367368588099582,2024-05-01 13:34:45,
90,6.0,[498.25331712145385 673.7570807222902 843.0843887096878 942.9960302350945],[614.9853515625 843.43212890625 714.0402221679688 886.1363525390625],0.5771440863609314,GX15OGJ,0.5028523432409602,2024-05-01 13:34:45,
93,6.0,[490.48670366812905 681.667821502721 841.67567752769 951.8475737709292],[613.7222900390625 851.0652465820312 717.9129638671875 897.1964721679688],0.5134199261665344,CX15OCJ,0.24414592128837975,2024-05-01 13:34:45,
95,6.0,[486.68944512410576 684.8579860902439 842.3237576406207 956.5157090161895],[611.8812255859375 858.3209838867188 712.6553344726562 901.2894287109375],0.571404218673706,GX15CCJ,0.2994302677575636,2024-05-01 13:34:45,
97,6.0,[483.11963600864834 691.6768563235521 840.8302878310535 967.3037750683063],[606.4509887695312 866.2105102539062 712.2669067382812 906.4292602539062],0.5800370573997498,GX15OGJ,0.32367054039420806,2024-05-01 13:34:45,
98,6.0,[482.6608762744499 694.4416454665004 840.6201795480306 971.2541405486024],[610.2517700195312 869.5298461914062 708.2103881835938 911.04443359375],0.5998851656913757,GX15OCJ,0.952002962872326,2024-05-01 13:34:45,
103,6.0,[473.308743923095 711.8645873337196 835.9591739873644 993.4026557125862],[606.8467407226562 892.6575317382812 704.2532958984375 928.3729858398438],0.39488521218299866,GX15OCJ,0.5355988607073255,2024-05-01 13:34:45,
104,1.0,[1028.345814898355 552.1869860633097 1281.1085389948962 774.0523213690832],[1114.9833984375 686.9681396484375 1214.765625 732.3067016601562],0.3652978241443634,AP05JEO,0.33157510354706554,2024-05-01 13:34:53,
108,6.0,[467.7724455822606 729.2360870963793 833.5564622648953 1014.9403010345885],[597.0128173828125 908.4845581054688 696.9888305664062 951.4890747070312],0.5774056315422058,GY15OGJ,0.4348908681263028,2024-05-01 13:34:45,
110,1.0,[1027.661146192464 561.9846462100998 1281.921216453533 785.3806009732293],[1124.19482421875 702.0975952148438 1215.17626953125 740.3150024414062],0.28869158029556274,AP05JED,0.25909584276210607,2024-05-01 13:34:53,
115,6.0,[452.475716463469 751.7183847066316 827.0855698742624 1047.2803898246907],[580.0250854492188 935.698974609375 691.1268920898438 981.6416015625],0.5843082666397095,GX15OGJ,0.5543997158786556,2024-05-01 13:34:45,
115,1.0,[1026.7063983353141 570.0366431512921 1288.7002638863937 796.0918932569036],[1110.5413818359375 712.903564453125 1213.3671875 756.2382202148438],0.37478703260421753,XF05JEQ,0.15302005064913013,2024-05-01 13:34:53,
116,1.0,[1026.5332822796 570.6230478992235 1289.2089065748874 797.4411426272524],[1111.6314697265625 710.1079711914062 1213.24658203125 754.498779296875],0.30290094017982483,JF05JEO,0.20245876623333348,2024-05-01 13:34:53,
117,6.0,[448.36933980474737 758.5157930660432 825.7093876176154 1054.335758791331],[574.0723266601562 943.7872924804688 691.2874145507812 992.6720581054688],0.5784885287284851,GX15OGJ,0.069719226316569,2024-05-01 13:34:45,
118,8.0,[572.7458257983244 536.8824636140671 810.4463685433068 744.2609443102683],[650.6024780273438 652.7653198242188 729.2918701171875 693.0661010742188],0.31275540590286255,KH35ZIX,0.19896426549776858,2024-05-01 13:34:56,
121,1.0,[1024.860758533494 581.544687790657 1292.446763737817 812.2865449698422],[1113.1468505859375 721.1290893554688 1210.8486328125 767.3265991210938],0.4605284035205841,AP05JEO,0.3086901841893194,2024-05-01 13:34:53,
122,6.0,[437.63073977873 773.6007605058852 824.6881258505778 1069.4850260723456],[571.094970703125 964.1678466796875 688.074951171875 1010.931884765625],0.6234100461006165,GX15CCJ,0.17384465850894062,2024-05-01 13:34:45,
122,1.0,[1024.2570128635662 582.4336911178299 1293.6270603782714 814.6469254997952],[1117.9197998046875 723.9832153320312 1209.2835693359375 769.0462646484375],0.40124374628067017,AP05JEQ,0.5583345237044165,2024-05-01 13:34:53,
123,6.0,[435.03699599602976 778.6652550336169 823.4949980307605 1073.8273227740792],[563.309326171875 969.7406616210938 665.381103515625 1013.2937622070312],0.469186931848526,GX15OGJ,0.25083021973259934,2024-05-01 13:34:45,
123,1.0,[1022.5232167591632 585.9887018386602 1294.018124089059 818.3279390274105],[1120.1507568359375 733.3143310546875 1218.2381591796875 778.0629272460938],0.35415521264076233,AP05JEO,0.4952589724866902,2024-05-01 13:34:53,
124,1.0,[1020.9072218979802 587.6490478731403 1294.5946191978035 820.5684343056071],[1115.3094482421875 732.218505859375 1214.5137939453125 775.322998046875],0.36132001876831055,AP05JEQ,0.4152870456307138,2024-05-01 13:34:53,
125,6.0,[430.91103035870293 783.4471079939383 822.69898336641 1076.7223008273122],[567.9793090820312 976.2205810546875 674.940185546875 1023.8935546875],0.6353329420089722,GX15OGJ,0.33376038334913055,2024-05-01 13:34:45,
125,34.0,[1118.9454145853892 797.6012878214826 1475.9724691196716 1075.0263355601933],[1245.60498046875 970.9323120117188 1359.384033203125 1020.5890502929688],0.28502172231674194,LH13MCV,0.08546681275776301,2024-05-01 13:34:58,
125,1.0,[1020.651071044816 590.034317646561 1295.280666301615 822.6049314426632],[1116.6685791015625 734.30712890625 1212.190673828125 776.917236328125],0.27519509196281433,AF05JEO,0.5023808756164252,2024-05-01 13:34:53,
126,6.0,[427.8915430557 789.5376610069538 822.2754962047953 1078.7008503836391],[563.607421875 986.22802734375 670.0718994140625 1034.630126953125],0.6510951519012451,GY15OGJ,0.3930894803770897,2024-05-01 13:34:45,
126,1.0,[1022.3558120604594 592.7030074341772 1296.8838704824338 825.8648930637612],[1113.942626953125 737.896728515625 1215.8140869140625 778.6146240234375],0.38483867049217224,AP05JEO,0.38626175678412944,2024-05-01 13:34:53,
127,6.0,[425.8711608276082 793.4063591581357 821.6674815050419 1078.8436891420288],[562.298583984375 988.5703125 668.754638671875 1035.4493408203125],0.6213356256484985,GY15OGJ,0.4221502198701222,2024-05-01 13:34:45,
127,1.0,[1023.3752617733041 593.9665923137935 1298.108939176367 827.6226699626549],[1112.9083251953125 736.1028442382812 1224.8037109375 779.4091186523438],0.4786261022090912,AP05JEO,0.6099320517265144,2024-05-01 13:34:53,
128,6.0,[424.10521840879596 796.1677859155072 820.9896219686559 1078.175064575406],[565.4890747070312 991.856689453125 669.2421264648438 1038.635009765625],0.6263030767440796,GY15OGJ,0.5504815297260816,2024-05-01 13:34:45,
128,1.0,[1024.047733536108 594.0611909441528 1298.5344077152636 828.6402024240357],[1111.94140625 738.1891479492188 1224.0484619140625 779.7989501953125],0.3715324103832245,AP05JEQ,0.1036406054219264,2024-05-01 13:34:53,
130,6.0,[417.7177968356947 803.3788244445468 820.0750681420192 1077.7361380264522],[559.065673828125 1005.8077392578125 661.7371215820312 1049.5360107421875],0.6585102677345276,GX15OGJ,0.3396479230643692,2024-05-01 13:34:45,
130,34.0,[1122.094238547163 811.086899553663 1488.393841266764 1076.644657013647],[1256.4310302734375 992.712158203125 1364.5423583984375 1042.9442138671875],0.49611154198646545,LM13VCV,0.28106614697891813,2024-05-01 13:34:58,
131,6.0,[416.38556081458614 806.1138260098692 820.0753950854776 1077.8917602126505],[550.646240234375 1004.9295654296875 659.8111572265625 1051.652587890625],0.6505747437477112,GX15OGJ,0.4177863321423284,2024-05-01 13:34:45,
132,6.0,[416.0985509936953 811.3586613420428 819.4398606662954 1079.0473503335668],[548.5889282226562 1013.5587158203125 667.2861328125 1063.36962890625],0.6753532290458679,GX15OGJ,0.4778161699913002,2024-05-01 13:34:45,
132,34.0,[1122.7766904475152 818.146763678263 1490.9402882807854 1076.0923038030478],[1254.845703125 1006.3824462890625 1368.4373779296875 1054.0968017578125],0.6681385636329651,LN13VCV,0.12819157656778465,2024-05-01 13:34:58,
132,1.0,[1024.8639813158318 602.575228355847 1300.8533076221977 840.1244815099064],[1116.3419189453125 746.106689453125 1223.80615234375 791.0336303710938],0.4775761663913727,AP05JED,0.3008784163945266,2024-05-01 13:34:53,
133,1.0,[1024.6116151737367 604.6518022579661 1302.2793073509117 841.9672183377878],[1117.126953125 750.7012939453125 1212.98486328125 792.16259765625],0.2856937646865845,AP05JEQ,0.2631890910102791,2024-05-01 13:34:53,
134,34.0,[1121.4786130281477 824.4184130071641 1492.3925676354875 1076.8840910096121],[1255.9486083984375 1007.9994506835938 1368.0498046875 1060.6634521484375],0.6684768795967102,LM13VCV,0.36663755872610043,2024-05-01 13:34:58,
134,6.0,[413.4958072604706 816.4972488266724 813.5212622075817 1079.1324949699472],[543.8973999023438 1021.5271606445312 661.6576538085938 1068.4913330078125],0.6247360706329346,GX15UGJ,0.2818706362409886,2024-05-01 13:34:45,
